iter	Passed	Remaining
0	11	2262
1	22	2249
2	34	2253
3	45	2240
4	57	2253
5	69	2235
6	80	2223
7	92	2216
8	104	2215
9	116	2208
10	128	2212
11	140	2208
12	152	2196
13	164	2180
14	176	2177
15	188	2167
16	200	2159
17	212	2149
18	224	2138
19	236	2127
20	248	2117
21	260	2105
22	272	2095
23	284	2087
24	296	2075
25	308	2064
26	320	2051
27	332	2040
28	344	2031
29	356	2020
30	368	2009
31	380	1999
32	392	1988
33	404	1977
34	407	1920
35	419	1911
36	431	1900
37	443	1890
38	455	1879
39	467	1868
40	479	1859
41	491	1850
42	503	1839
43	515	1828
44	527	1816
45	539	1806
46	551	1794
47	563	1783
48	570	1758
49	582	1748
50	594	1738
51	599	1705
52	611	1696
53	620	1676
54	632	1667
55	644	1657
56	656	1646
57	668	1635
58	673	1608
59	685	1599
60	697	1590
61	710	1580
62	715	1555
63	727	1545
64	740	1537
65	752	1528
66	765	1519
67	777	1509
68	789	1499
69	801	1489
70	814	1479
71	826	1468
72	837	1457
73	849	1446
74	861	1436
75	873	1425
76	885	1414
77	898	1405
78	910	1394
79	922	1383
80	934	1372
81	937	1348
82	949	1338
83	961	1327
84	968	1310
85	981	1300
86	993	1290
87	995	1267
88	1007	1257
89	1021	1248
90	1033	1237
91	1045	1227
92	1050	1208
93	1062	1197
94	1074	1187
95	1086	1176
96	1098	1166
97	1110	1156
98	1122	1145
99	1135	1135
100	1147	1124
101	1159	1113
102	1171	1102
103	1184	1092
104	1196	1082
105	1208	1071
106	1220	1061
107	1233	1050
108	1245	1039
109	1257	1028
110	1269	1017
111	1282	1007
112	1294	996
113	1306	985
114	1319	975
115	1331	964
116	1343	953
117	1355	942
118	1367	931
119	1379	919
120	1391	908
121	1403	897
122	1415	886
123	1427	874
124	1439	863
125	1452	853
126	1464	841
127	1476	830
128	1489	819
129	1502	809
130	1515	798
131	1527	787
132	1539	775
133	1552	764
134	1564	753
135	1576	741
136	1588	730
137	1601	719
138	1613	708
139	1625	696
140	1637	685
141	1649	673
142	1661	662
143	1673	650
144	1685	639
145	1697	627
146	1709	616
147	1721	604
148	1734	593
149	1747	582
150	1759	571
151	1771	559
152	1783	547
153	1796	536
154	1808	525
155	1819	513
156	1831	501
157	1844	490
158	1855	478
159	1866	466
160	1879	455
161	1891	443
162	1903	432
163	1915	420
164	1927	408
165	1939	397
166	1951	385
167	1963	373
168	1975	362
169	1987	350
170	1999	339
171	2011	327
172	2023	315
173	2035	304
174	2047	292
175	2059	280
176	2071	269
177	2083	257
178	2096	245
179	2108	234
180	2120	222
181	2132	210
182	2144	199
183	2157	187
184	2168	175
185	2180	164
186	2192	152
187	2203	140
188	2215	128
189	2227	117
190	2239	105
191	2252	93
192	2263	82
193	2276	70
194	2288	58
195	2301	46
196	2315	35
197	2327	23
198	2339	11
199	2351	0
