Model,RMSE,MAE,R²,Time
Catboost_Top5,84.92415428714656,63.10652422628907,0.6651244688166523,15.65
XGBoost_Top5,85.04036086807821,63.12396013954772,0.6642073830834656,2.55
Light GBM_Top5,85.11758783872679,62.94204129874327,0.6635972252450066,2.22
Extra Trees_Top5,85.49922821611335,63.602262744931245,0.6605738148357817,21.43
Random Forest_Top5,85.52553642181353,63.01189078745461,0.6603648990847524,17.34
KNN Regressor_Top5,85.58571989654865,63.0847874847101,0.6598867351764852,11.08
MLP_Top5,87.08660526371136,66.00807359734883,0.6478532558884964,79.05
CNN-1D_Top5,88.76352321391974,67.63442107760271,0.6341609857870705,90.43
LSTM_Top5,90.25161876362284,68.03511997338161,0.6217917878497521,277.38
Support Vector Regression_Top5,111.92075211180322,85.73889205616632,0.41837616705543157,10488.02
GRU_Top5,115.58277107937727,94.09256594653917,0.3796923188681881,325.16
Transformer_Top5,136.84688878868712,115.01850279704567,0.13045750604613537,493.93
Linear Regression_Top5,140.2124379361899,119.07061943354967,0.08716131755043754,0.29
