Model,RMSE,MAE,R²,Time
LSTM_Top5,85.22651189147348,66.36023107516067,0.5417488247263306,450.2
GRU_Top5,85.23830360176454,66.31645576494837,0.5416220111611434,596.32
MLP_Top5,86.66497700478665,68.09025351001593,0.5261494257479514,143.67
Catboost_Top5,88.4657892958103,68.91858694322023,0.5062525424261688,22.62
XGBoost_Top5,88.58083088460269,68.86249335005091,0.5049675615317197,4.7
Light GBM_Top5,88.64200045865107,69.17624698035054,0.5042836352610254,2.72
Extra Trees_Top5,88.67859759725128,69.34772659323633,0.5038742233464499,19.35
CNN-1D_Top5,89.0139522980666,70.02614054237998,0.5001147433617756,173.77
Random Forest_Top5,89.05669861272142,69.19448482874725,0.4996345178992495,42.27
KNN Regressor_Top5,89.11982541189737,69.25784238808893,0.49892491005063777,28.33
Support Vector Regression_Top5,101.26616198585099,79.73762373700886,0.353031911335037,29341.56
Transformer_Top5,104.54790184314045,83.10740853581451,0.3104197700156395,604.58
Linear Regression_Top5,108.02785421923393,87.84173672791998,0.26374940559922644,0.35
