Model,RMSE,MAE,R²,Time
GRU,87.18314890706826,68.20980583065707,0.5204661591080595,690.81
MLP,87.60028266049174,68.58961648206022,0.5158664564937961,152.09
Catboost,88.49854935017923,68.95066419255815,0.5058867922615524,25.72
XGBoost,88.58083088460269,68.86249335005091,0.5049675615317197,7.12
Extra Trees,88.64090737443543,69.31144231033089,0.5042958609867529,14.93
Light GBM,88.64200045865107,69.17624698035054,0.5042836352610254,4.81
Random Forest,89.07500828173075,69.2097333158371,0.49942875082527016,33.73
KNN Regressor,89.10473276919556,69.20507108725702,0.49909461206468986,28.19
CNN-1D,91.92494759896762,72.3412932356769,0.4668849524286539,148.3
LSTM,100.38511122113447,80.10830053588602,0.3642406323563816,729.75
Linear Regression,100.72831386746086,80.89255023221679,0.35988605661050577,0.73
Transformer,106.10661284778037,85.90817572652588,0.2897045031805279,1151.5
