number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_kernel_size,params_learning_rate,params_num_filters,state
0,9303.7998046875,2025-05-06 00:13:06.198499,2025-05-06 00:13:35.652706,0 days 00:00:29.454207,128,96,5,0.01988578350361588,96,COMPLETE
1,9279.44140625,2025-05-06 00:13:35.668352,2025-05-06 00:14:42.847806,0 days 00:01:07.179454,32,64,4,0.00638525396498764,48,COMPLETE
2,9748.61328125,2025-05-06 00:14:42.847806,2025-05-06 00:15:35.303145,0 days 00:00:52.455339,32,96,2,0.059864008265169896,16,COMPLETE
3,9139.609375,2025-05-06 00:15:35.303145,2025-05-06 00:16:40.482214,0 days 00:01:05.179069,32,112,5,0.013716215966390867,32,COMPLETE
4,9134.2626953125,2025-05-06 00:16:40.482214,2025-05-06 00:17:19.951373,0 days 00:00:39.469159,64,16,3,0.03227242876206463,112,COMPLETE
5,8969.962890625,2025-05-06 00:17:19.951373,2025-05-06 00:18:18.435375,0 days 00:00:58.484002,32,80,4,0.020659724123327596,80,COMPLETE
6,9074.9609375,2025-05-06 00:18:18.435375,2025-05-06 00:19:23.931151,0 days 00:01:05.495776,32,128,4,0.01193341356530273,16,COMPLETE
7,9376.908203125,2025-05-06 00:19:23.931151,2025-05-06 00:20:33.955788,0 days 00:01:10.024637,32,48,4,0.09082140340840146,80,COMPLETE
8,9303.6337890625,2025-05-06 00:20:33.955788,2025-05-06 00:20:59.267650,0 days 00:00:25.311862,128,48,2,0.029548808026359317,112,COMPLETE
9,11022.96875,2025-05-06 00:20:59.267650,2025-05-06 00:21:37.337203,0 days 00:00:38.069553,64,48,2,0.002720605551840234,64,COMPLETE
