number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_units,state
0,9546.2578125,2025-05-06 00:36:43.710057,2025-05-06 00:42:11.505921,0 days 00:05:27.795864,128,0.05429634762372725,101,COMPLETE
1,8893.4755859375,2025-05-06 00:42:11.505921,2025-05-06 00:45:02.480037,0 days 00:02:50.974116,64,0.0073797438100699575,21,COMPLETE
2,11757.814453125,2025-05-06 00:45:02.480037,2025-05-06 00:45:53.920705,0 days 00:00:51.440668,128,0.08025639720439202,10,COMPLETE
3,11262.1103515625,2025-05-06 00:45:53.920705,2025-05-06 00:51:23.664896,0 days 00:05:29.744191,16,0.04812554870938406,83,COMPLETE
4,9716.6162109375,2025-05-06 00:51:23.664896,2025-05-06 00:53:06.412392,0 days 00:01:42.747496,128,0.028292210393407975,24,COMPLETE
5,9374.59765625,2025-05-06 00:53:06.412392,2025-05-06 00:58:51.239836,0 days 00:05:44.827444,128,0.001351635495947161,108,COMPLETE
6,8898.1240234375,2025-05-06 00:58:51.239836,2025-05-06 01:11:03.252064,0 days 00:12:12.012228,16,0.00314318925860711,65,COMPLETE
7,10160.421875,2025-05-06 01:11:03.252064,2025-05-06 01:16:15.772678,0 days 00:05:12.520614,16,0.016622379672278302,25,COMPLETE
8,9128.30078125,2025-05-06 01:16:15.784155,2025-05-06 01:18:33.225898,0 days 00:02:17.441743,128,0.032862003773153604,30,COMPLETE
9,9298.5107421875,2025-05-06 01:18:33.225898,2025-05-06 01:26:25.343638,0 days 00:07:52.117740,16,0.003667253756212358,126,COMPLETE
