number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_units,state
0,9499.521484375,2025-05-05 16:30:51.404867,2025-05-05 16:32:32.036134,0 days 00:01:40.631267,128,0.0011685201372259569,32,COMPLETE
1,11916.837890625,2025-05-05 16:32:32.036134,2025-05-05 16:41:33.127866,0 days 00:09:01.091732,16,0.05864400212640064,16,COMPLETE
2,8818.40234375,2025-05-05 16:41:33.127866,2025-05-05 16:44:42.803084,0 days 00:03:09.675218,64,0.004183273354079175,41,COMPLETE
3,8978.4326171875,2025-05-05 16:44:42.803084,2025-05-05 16:49:40.370463,0 days 00:04:57.567379,32,0.002361553442387804,26,COMPLETE
4,12271.4892578125,2025-05-05 16:49:40.371447,2025-05-05 16:59:33.898347,0 days 00:09:53.526900,16,0.05911372524427449,31,COMPLETE
5,9086.498046875,2025-05-05 16:59:33.898347,2025-05-05 17:04:20.704582,0 days 00:04:46.806235,32,0.00269617229788619,17,COMPLETE
6,8883.7099609375,2025-05-05 17:04:20.704582,2025-05-05 17:05:54.578854,0 days 00:01:33.874272,128,0.00787072351345404,16,COMPLETE
7,11433.5966796875,2025-05-05 17:05:54.578854,2025-05-05 17:16:04.686603,0 days 00:10:10.107749,16,0.03522807765708979,31,COMPLETE
8,16303.1181640625,2025-05-05 17:16:04.686603,2025-05-05 17:18:45.787706,0 days 00:02:41.101103,64,0.0807883483076903,18,COMPLETE
9,8867.2255859375,2025-05-05 17:18:45.787706,2025-05-05 17:21:29.746476,0 days 00:02:43.958770,64,0.0127042333033577,20,COMPLETE
