number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_units,params_learning_rate,state
0,9964.3857421875,2025-05-06 01:39:05.300064,2025-05-06 01:39:45.623758,0 days 00:00:40.323694,32,64,0.09173639478001024,COMPLETE
1,9485.5263671875,2025-05-06 01:39:45.624759,2025-05-06 01:40:15.206509,0 days 00:00:29.581750,128,256,0.004627765374669783,COMPLETE
2,9031.62109375,2025-05-06 01:40:15.206975,2025-05-06 01:40:40.393566,0 days 00:00:25.186591,128,224,0.026145751424183076,COMPLETE
3,9534.794921875,2025-05-06 01:40:40.393566,2025-05-06 01:41:07.359889,0 days 00:00:26.966323,64,96,0.041319956930276305,COMPLETE
4,9942.076171875,2025-05-06 01:41:07.359889,2025-05-06 01:41:58.035416,0 days 00:00:50.675527,32,128,0.03855284477582966,COMPLETE
5,9637.21484375,2025-05-06 01:41:58.035416,2025-05-06 01:42:43.928529,0 days 00:00:45.893113,64,256,0.0017353488687033825,COMPLETE
6,9126.18359375,2025-05-06 01:42:43.928529,2025-05-06 01:43:11.354401,0 days 00:00:27.425872,64,224,0.015648294913369498,COMPLETE
7,11907.259765625,2025-05-06 01:43:11.354401,2025-05-06 01:43:19.347365,0 days 00:00:07.992964,128,32,0.003505083911197808,COMPLETE
8,9165.958984375,2025-05-06 01:43:19.347365,2025-05-06 01:44:02.229835,0 days 00:00:42.882470,64,256,0.002616685298381973,COMPLETE
9,9796.1962890625,2025-05-06 01:44:02.229835,2025-05-06 01:45:21.063627,0 days 00:01:18.833792,16,160,0.026555235994555552,COMPLETE
