Model,RMSE,MAE,R²,Time
Light GBM_Top5,96.17171503459855,74.69327089982957,0.5264149767440058,3.36
Extra Trees_Top5,96.19478766065122,74.81626046102278,0.5261877132315258,36.33
Random Forest_Top5,96.28365212283434,74.74399598588239,0.525311896083098,49.22
XGBoost_Top5,96.29543235650897,74.79440992715578,0.5251957334999788,2.32
KNN Regressor_Top5,96.43748464852705,74.89991530327502,0.5245588721186748,8.47
Catboost_Top5,96.44054028102994,75.14700983925869,0.5237636869076779,18.24
GRU_Top5,98.42929798955437,77.26776732893525,0.5047165977445498,177.27
MLP_Top5,100.27586565364724,78.95050923201354,0.48595890670713515,24.98
LSTM_Top5,100.31854553589311,78.60049168781494,0.48552123644373824,72.09
CNN-1D_Top5,100.82657166841764,80.5927004525702,0.48029726798382033,30.19
Support Vector Regression_Top5,113.40961517532077,88.17327735974649,0.34248638130609965,7563.54
Linear Regression_Top5,115.24977832260923,94.57785604367861,0.3198833055906455,0.28
Transformer_Top5,117.80235669966987,94.44908788201904,0.29056443472711424,156.2
