number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_units,state
0,9775.8310546875,2025-05-12 20:31:39.226852,2025-05-12 20:35:16.639492,0 days 00:03:37.412640,128,0.004219565851146593,101,COMPLETE
1,9706.22265625,2025-05-12 20:35:16.639492,2025-05-12 20:37:14.408070,0 days 00:01:57.768578,64,0.01085580037439944,33,COMPLETE
2,10239.6083984375,2025-05-12 20:37:14.424255,2025-05-12 20:41:07.696913,0 days 00:03:53.272658,32,0.02735885354469541,124,COMPLETE
3,9920.1845703125,2025-05-12 20:41:07.696913,2025-05-12 20:44:54.575563,0 days 00:03:46.878650,128,0.0012386474988615517,121,COMPLETE
4,9838.953125,2025-05-12 20:44:54.575563,2025-05-12 20:48:59.792531,0 days 00:04:05.216968,32,0.002491235430096346,116,COMPLETE
5,9579.5419921875,2025-05-12 20:48:59.793529,2025-05-12 20:53:20.370890,0 days 00:04:20.577361,32,0.00595358478674759,65,COMPLETE
6,12856.7880859375,2025-05-12 20:53:20.370890,2025-05-12 20:54:30.727283,0 days 00:01:10.356393,64,0.08947232412418654,73,COMPLETE
7,9749.4716796875,2025-05-12 20:54:30.727283,2025-05-12 20:57:07.713681,0 days 00:02:36.986398,64,0.004443700842539794,57,COMPLETE
8,9725.935546875,2025-05-12 20:57:07.713681,2025-05-12 21:02:28.462541,0 days 00:05:20.748860,64,0.010525516679424533,118,COMPLETE
9,10332.099609375,2025-05-12 21:02:28.462541,2025-05-12 21:04:49.596631,0 days 00:02:21.134090,128,0.004974530482700693,114,COMPLETE
