number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_units,state
0,9820.39453125,2025-05-12 15:42:47.531995,2025-05-12 15:43:43.521202,0 days 00:00:55.989207,128,0.022580090261021656,23,COMPLETE
1,19717.64453125,2025-05-12 15:43:43.541707,2025-05-12 15:44:48.736046,0 days 00:01:05.194339,128,0.05681964333047582,33,COMPLETE
2,10127.103515625,2025-05-12 15:44:48.737068,2025-05-12 15:45:21.828347,0 days 00:00:33.091279,256,0.012902200623301819,16,COMPLETE
3,9855.9462890625,2025-05-12 15:45:21.828347,2025-05-12 15:48:15.944003,0 days 00:02:54.115656,32,0.0022981177683176228,48,COMPLETE
4,10008.8125,2025-05-12 15:48:15.944003,2025-05-12 15:49:33.859847,0 days 00:01:17.915844,64,0.003533946031483087,20,COMPLETE
5,9771.8603515625,2025-05-12 15:49:33.860862,2025-05-12 15:51:51.664226,0 days 00:02:17.803364,32,0.01841012646630159,10,COMPLETE
6,9744.50390625,2025-05-12 15:51:51.664226,2025-05-12 15:54:09.235009,0 days 00:02:17.570783,32,0.015780663039126803,17,COMPLETE
7,10232.169921875,2025-05-12 15:54:09.235009,2025-05-12 15:55:27.734228,0 days 00:01:18.499219,64,0.03755674228889422,16,COMPLETE
8,9593.8896484375,2025-05-12 15:55:27.734228,2025-05-12 15:57:51.501903,0 days 00:02:23.767675,32,0.0033702871364038513,24,COMPLETE
9,9582.81640625,2025-05-12 15:57:51.501903,2025-05-12 16:00:22.756236,0 days 00:02:31.254333,32,0.008439718659831077,29,COMPLETE
