Model,RMSE,MAE,R²,Time
Light GBM,96.58405976328591,73.9702074685683,0.5347461252498714,9.37
KNN Regressor,96.63985432828643,73.94835655113334,0.5339127775615355,10.01
Random Forest,96.68048336732132,73.97665429995271,0.5338166996496588,56.84
XGBoost,96.6851348286555,73.9647989901123,0.5337718408387757,4.39
Extra Trees,96.72935617297308,74.27066182885312,0.5333452612845256,27.08
Catboost,96.99334365681901,74.62710488418698,0.530794657876507,21.18
LSTM,98.17603646505253,75.28278490879272,0.518977209228699,169.44
MLP,98.55612818216673,76.81722979864868,0.5152454085442477,54.26
CNN-1D,101.72912527105734,78.8186509471863,0.48352978079361153,46.15
Support Vector Regression,114.70362667241318,88.37154646205457,0.3433877770678996,14154.47
GRU,114.82959108144223,92.40059923830933,0.3419448377670935,399.27
Linear Regression,116.8765351573413,95.88742888116064,0.318707288819158,1.15
Transformer,133.57533295086714,111.81467608682098,0.10955480523730221,206.34
