Model,RMSE,MAE,R²,Time
Light GBM_Top5,96.58405976328591,73.9702074685683,0.5347461252498714,3.48
KNN Regressor_Top5,96.63529455577074,73.95094107,0.5339567594483776,20.13
Random Forest_Top5,96.67629098293912,74.00374301906038,0.5338571292616037,39.98
XGBoost_Top5,96.68422377308315,74.00721270666455,0.5337806272517422,3.26
Extra Trees_Top5,96.72538975758678,74.26811881482998,0.5333835311264776,34.71
Catboost_Top5,96.99872680095949,74.64016631754642,0.5307425745069885,18.94
GRU_Top5,98.48388164321035,75.51576618934507,0.5159558464591018,190.59
MLP_Top5,99.0264856862683,75.8159604167453,0.5106074008205841,37.76
CNN-1D_Top5,99.52439334046701,76.8965129816046,0.5056736719374846,51.12
LSTM_Top5,103.9965660904513,79.73544655633728,0.4602499856104244,132.56
Transformer_Top5,114.22590612981784,91.27489312110838,0.34884573774913485,250.03
Support Vector Regression_Top5,114.76978398453905,87.92128629391651,0.3426301335941925,10824.28
Linear Regression_Top5,118.55537346858151,96.87793648063953,0.29899426345340463,0.46
