number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_kernel_size,params_learning_rate,params_num_filters,state
0,11792.9697265625,2025-05-14 03:42:07.451391,2025-05-14 03:42:19.344618,0 days 00:00:11.893227,256,16,2,0.052439001552543704,48,COMPLETE
1,13332.0634765625,2025-05-14 03:42:19.345710,2025-05-14 03:42:29.035830,0 days 00:00:09.690120,256,128,5,0.009117130395316784,32,COMPLETE
2,11761.66015625,2025-05-14 03:42:29.036822,2025-05-14 03:42:47.964920,0 days 00:00:18.928098,64,16,5,0.016537965863616333,32,COMPLETE
3,10148.48046875,2025-05-14 03:42:47.964920,2025-05-14 03:43:09.552357,0 days 00:00:21.587437,64,16,4,0.04345224506156624,64,COMPLETE
4,14616.1533203125,2025-05-14 03:43:09.552357,2025-05-14 03:43:32.600890,0 days 00:00:23.048533,64,16,3,0.0011875279056791598,64,COMPLETE
5,12118.3076171875,2025-05-14 03:43:32.600890,2025-05-14 03:43:47.207785,0 days 00:00:14.606895,256,48,4,0.023410162533829867,112,COMPLETE
6,11121.658203125,2025-05-14 03:43:47.207785,2025-05-14 03:44:12.600065,0 days 00:00:25.392280,256,112,2,0.02343209767772774,112,COMPLETE
7,12272.9912109375,2025-05-14 03:44:12.600065,2025-05-14 03:44:35.618730,0 days 00:00:23.018665,128,128,3,0.003382930214817425,64,COMPLETE
8,10706.49609375,2025-05-14 03:44:35.618730,2025-05-14 03:45:03.174455,0 days 00:00:27.555725,128,64,3,0.027196548382092133,112,COMPLETE
9,11496.8037109375,2025-05-14 03:45:03.174455,2025-05-14 03:45:21.625756,0 days 00:00:18.451301,128,48,5,0.011312164545247475,112,COMPLETE
