number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_units,state
0,10199.380859375,2025-05-14 03:45:50.607320,2025-05-14 03:48:03.624681,0 days 00:02:13.017361,64,0.01805626788266979,67,COMPLETE
1,11091.4921875,2025-05-14 03:48:03.624681,2025-05-14 03:52:08.886285,0 days 00:04:05.261604,32,0.020407283941954936,103,COMPLETE
2,9670.68359375,2025-05-14 03:52:08.901508,2025-05-14 03:54:55.664990,0 days 00:02:46.763482,64,0.0027502019299915966,57,COMPLETE
3,15122.3115234375,2025-05-14 03:54:55.664990,2025-05-14 03:56:59.477367,0 days 00:02:03.812377,32,0.07875886060622467,55,COMPLETE
4,10403.5556640625,2025-05-14 03:56:59.477367,2025-05-14 04:00:20.743074,0 days 00:03:21.265707,128,0.0011610950097883687,78,COMPLETE
5,9878.91015625,2025-05-14 04:00:20.758605,2025-05-14 04:06:08.881318,0 days 00:05:48.122713,128,0.02919099914717388,127,COMPLETE
6,10209.6015625,2025-05-14 04:06:08.897181,2025-05-14 04:12:31.767010,0 days 00:06:22.869829,64,0.02180829480508434,119,COMPLETE
7,10700.609375,2025-05-14 04:12:31.767010,2025-05-14 04:13:15.736289,0 days 00:00:43.969279,128,0.08440974989854252,28,COMPLETE
8,11030.4208984375,2025-05-14 04:13:15.736289,2025-05-14 04:14:29.468946,0 days 00:01:13.732657,128,0.05326253371474453,65,COMPLETE
9,13502.232421875,2025-05-14 04:14:29.468946,2025-05-14 04:19:24.427068,0 days 00:04:54.958122,32,0.06386677372149092,66,COMPLETE
