number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_units,state
0,10242.318359375,2025-05-14 01:24:15.297492,2025-05-14 01:25:45.908810,0 days 00:01:30.611318,64,0.029182338851184198,39,COMPLETE
1,10834.8427734375,2025-05-14 01:25:45.908810,2025-05-14 01:26:17.280140,0 days 00:00:31.371330,256,0.005153197834901527,18,COMPLETE
2,9696.2646484375,2025-05-14 01:26:17.280140,2025-05-14 01:27:36.749727,0 days 00:01:19.469587,128,0.009081564776457171,49,COMPLETE
3,11031.1171875,2025-05-14 01:27:36.749727,2025-05-14 01:28:45.891419,0 days 00:01:09.141692,64,0.07953515601637941,13,COMPLETE
4,9722.98046875,2025-05-14 01:28:45.891419,2025-05-14 01:31:20.142788,0 days 00:02:34.251369,32,0.011057432727141601,41,COMPLETE
5,9551.6630859375,2025-05-14 01:31:20.142788,2025-05-14 01:33:49.215809,0 days 00:02:29.073021,32,0.004671117296733234,40,COMPLETE
6,10095.09765625,2025-05-14 01:33:49.215809,2025-05-14 01:34:44.849883,0 days 00:00:55.634074,128,0.0033637036230355286,31,COMPLETE
7,10100.9599609375,2025-05-14 01:34:44.849883,2025-05-14 01:35:28.115488,0 days 00:00:43.265605,128,0.020352807023725886,15,COMPLETE
8,11506.5859375,2025-05-14 01:35:28.115488,2025-05-14 01:35:59.605183,0 days 00:00:31.489695,256,0.00517501360864908,17,COMPLETE
9,9954.55078125,2025-05-14 01:35:59.605183,2025-05-14 01:36:55.322099,0 days 00:00:55.716916,128,0.020282016305254103,30,COMPLETE
