number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_units,params_learning_rate,state
0,9778.310546875,2025-05-14 04:23:45.420736,2025-05-14 04:24:15.659430,0 days 00:00:30.238694,128,256,0.032347591595549466,COMPLETE
1,9980.435546875,2025-05-14 04:24:15.659430,2025-05-14 04:24:40.175686,0 days 00:00:24.516256,64,160,0.014378784957354266,COMPLETE
2,15109.78515625,2025-05-14 04:24:40.175686,2025-05-14 04:24:45.586967,0 days 00:00:05.411281,128,128,0.0049154456564567146,COMPLETE
3,10687.943359375,2025-05-14 04:24:45.586967,2025-05-14 04:25:02.868794,0 days 00:00:17.281827,128,224,0.01804753329284335,COMPLETE
4,10118.619140625,2025-05-14 04:25:02.874611,2025-05-14 04:25:21.890712,0 days 00:00:19.016101,64,96,0.039216543759435694,COMPLETE
5,15074.6591796875,2025-05-14 04:25:21.890712,2025-05-14 04:25:27.504344,0 days 00:00:05.613632,128,96,0.005699236353465733,COMPLETE
6,10168.904296875,2025-05-14 04:25:27.504344,2025-05-14 04:25:39.910649,0 days 00:00:12.406305,64,64,0.08417491101087764,COMPLETE
7,10991.38671875,2025-05-14 04:25:39.911335,2025-05-14 04:25:56.011855,0 days 00:00:16.100520,64,32,0.003379418637007046,COMPLETE
8,10578.84375,2025-05-14 04:25:56.011855,2025-05-14 04:26:30.245387,0 days 00:00:34.233532,32,96,0.00391681368456891,COMPLETE
9,11511.7568359375,2025-05-14 04:26:30.245387,2025-05-14 04:26:39.809013,0 days 00:00:09.563626,128,64,0.0015658521740655395,COMPLETE
