Model,RMSE,MAE,R²,Time
Light GBM_Top5,67.9095330952345,51.72694287928112,0.6981542907532976,0.45
XGBoost_Top5,68.00044683362422,51.92354983618983,0.6973455592100448,0.64
Catboost_Top5,68.13848859933043,52.278146710281966,0.6961155273130701,7.47
KNN Regressor_Top5,68.28356970761956,51.9628341369863,0.6948200823104813,0.58
Random Forest_Top5,69.11705539053459,52.834419454180846,0.6873244138280632,4.24
Extra Trees_Top5,69.73727849044624,54.1095334507588,0.6816876363018363,3.22
GRU_Top5,70.57066658564284,54.92882593155255,0.6740342598802913,41.77
LSTM_Top5,71.63435202911842,55.707500981978555,0.664133884599702,37.76
MLP_Top5,76.50594311592687,59.16904230506467,0.6168984897094884,9.8
CNN-1D_Top5,77.88796589486935,61.499100424946825,0.6029325911922805,12.49
Support Vector Regression_Top5,90.98371327701517,72.72596981785111,0.45818523890858276,107.62
Linear Regression_Top5,91.59671721541024,74.31746355455161,0.45085967588335396,0.04
Transformer_Top5,117.32847071362082,91.50524089139941,0.0989884925816632,24.12
