Model,RMSE,MAE,R²,Time
Light GBM,104.0350733467877,81.7606700091013,0.3867202358894619,5.01
XGBoost,104.08201514478249,81.75980758899414,0.38616667354337,3.8
Random Forest,104.09426907281046,81.66129587775306,0.38602212768344035,59.89
Extra Trees,104.14565773640103,81.95519426394198,0.3854157678771557,63.1
Catboost,104.15044274688871,81.91342415220126,0.38535929198333396,21.06
KNN Regressor,104.21925378961227,81.82871113510001,0.38459827838558014,16.62
GRU,104.79429917509773,82.81714760816098,0.3777883999577336,207.88
CNN-1D,105.90706429185913,83.43170936256043,0.3645042540493655,58.21
MLP,106.87771695774539,85.0214886061328,0.35280206248634416,37.38
Transformer,115.08485935655189,91.0996818506372,0.24958903573120828,380.53
Support Vector Regression,116.93493209305964,90.70959229992634,0.22526830476596083,7955.7
Linear Regression,117.41990328823317,95.1154557780004,0.21876351712943942,0.5
LSTM,313.92257258473046,158.0754229160048,-4.583517450146011,199.49
