Model,RMSE,MAE,R²,Time
Light GBM_Top5,104.0350733467877,81.7606700091013,0.3867202358894619,4.57
XGBoost_Top5,104.08201514478249,81.75980758899414,0.38616667354337,4.99
Random Forest_Top5,104.09633068418259,81.66428607091719,0.3859978074915672,74.55
Catboost_Top5,104.14372373169593,81.90333235908453,0.3854385935577669,21.23
Extra Trees_Top5,104.14374298821845,81.96356113488676,0.38543836628883066,48.75
KNN Regressor_Top5,104.1992492448315,81.80586529172004,0.3848345044059879,10.43
LSTM_Top5,105.11062906317879,83.02335765382813,0.37402634053353956,148.55
CNN-1D_Top5,105.55597484940702,82.40837724508971,0.36871069723941075,48.73
GRU_Top5,106.52884574364526,82.49362263392577,0.35702034532075333,291.3
MLP_Top5,107.68839019731158,85.13831309864746,0.3429467647918447,52.16
Support Vector Regression_Top5,115.7284850957434,89.97669559249938,0.24117204002149184,10627.08
Linear Regression_Top5,120.01100993963483,97.64373567792003,0.18390397876467168,0.27
Transformer_Top5,127.5505629888513,101.73740022739868,0.07821943314600932,225.27
