number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_kernel_size,params_learning_rate,params_num_filters,state
0,11382.3515625,2025-05-21 16:31:06.711227,2025-05-21 16:31:43.660799,0 days 00:00:36.949572,64,80,2,0.011475514797936504,128,COMPLETE
1,13902.3115234375,2025-05-21 16:31:43.660799,2025-05-21 16:31:54.435101,0 days 00:00:10.774302,256,96,4,0.007343621981718115,80,COMPLETE
2,11768.740234375,2025-05-21 16:31:54.435101,2025-05-21 16:32:16.553153,0 days 00:00:22.118052,128,64,3,0.012044900320956653,128,COMPLETE
3,14429.5341796875,2025-05-21 16:32:16.554153,2025-05-21 16:32:54.969669,0 days 00:00:38.415516,32,64,4,0.0015874945590597118,32,COMPLETE
4,14081.9580078125,2025-05-21 16:32:54.969669,2025-05-21 16:33:15.564301,0 days 00:00:20.594632,64,96,3,0.0016042435538191314,16,COMPLETE
5,15062.8115234375,2025-05-21 16:33:15.564301,2025-05-21 16:33:23.083818,0 days 00:00:07.519517,256,48,2,0.003384565782897126,16,COMPLETE
6,14838.9501953125,2025-05-21 16:33:23.083818,2025-05-21 16:33:29.225703,0 days 00:00:06.141885,256,96,2,0.012435717870376693,16,COMPLETE
7,11483.732421875,2025-05-21 16:33:29.225703,2025-05-21 16:33:51.159830,0 days 00:00:21.934127,64,80,4,0.08970080095976356,48,COMPLETE
8,11901.6982421875,2025-05-21 16:33:51.159830,2025-05-21 16:34:02.662015,0 days 00:00:11.502185,256,80,4,0.03142918984896121,96,COMPLETE
9,11664.5517578125,2025-05-21 16:34:02.662015,2025-05-21 16:34:43.063212,0 days 00:00:40.401197,32,128,4,0.06709508904686673,80,COMPLETE
