number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_units,state
0,12501.50390625,2025-05-21 16:35:41.403011,2025-05-21 16:37:23.624156,0 days 00:01:42.221145,128,0.03259908485736027,76,COMPLETE
1,12231.1630859375,2025-05-21 16:37:23.624156,2025-05-21 16:40:02.817163,0 days 00:02:39.193007,256,0.0029833065156103337,99,COMPLETE
2,11489.5439453125,2025-05-21 16:40:02.818618,2025-05-21 16:41:23.082031,0 days 00:01:20.263413,256,0.011023271835221159,48,COMPLETE
3,11119.3427734375,2025-05-21 16:41:23.082031,2025-05-21 16:44:20.612925,0 days 00:02:57.530894,32,0.008259723559972426,27,COMPLETE
4,11938.5361328125,2025-05-21 16:44:20.613939,2025-05-21 16:45:53.014988,0 days 00:01:32.401049,64,0.0038018658697323393,30,COMPLETE
5,11638.771484375,2025-05-21 16:45:53.014988,2025-05-21 16:46:33.159119,0 days 00:00:40.144131,256,0.009732646058934237,20,COMPLETE
6,11122.666015625,2025-05-21 16:46:33.159119,2025-05-21 16:48:53.352183,0 days 00:02:20.193064,64,0.006571518045635263,61,COMPLETE
7,12569.65625,2025-05-21 16:48:53.352183,2025-05-21 16:50:56.008305,0 days 00:02:02.656122,64,0.04059064881952967,128,COMPLETE
8,17757.23046875,2025-05-21 16:50:56.009311,2025-05-21 16:54:32.914903,0 days 00:03:36.905592,32,0.050664428074966496,58,COMPLETE
9,11436.4091796875,2025-05-21 16:54:32.917732,2025-05-21 16:56:58.764680,0 days 00:02:25.846948,128,0.033983197653957936,76,COMPLETE
