number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_units,state
0,11588.6748046875,2025-05-21 13:01:03.071449,2025-05-21 13:02:22.787265,0 days 00:01:19.715816,64,0.0023775759184752106,26,COMPLETE
1,17920.99609375,2025-05-21 13:02:22.787265,2025-05-21 13:03:29.267850,0 days 00:01:06.480585,128,0.06495306516445272,40,COMPLETE
2,11772.4462890625,2025-05-21 13:03:29.267850,2025-05-21 13:04:54.529998,0 days 00:01:25.262148,64,0.0011380518849230868,26,COMPLETE
3,11446.982421875,2025-05-21 13:04:54.529998,2025-05-21 13:07:27.718711,0 days 00:02:33.188713,32,0.0032587563881686173,36,COMPLETE
4,11150.5498046875,2025-05-21 13:07:27.718711,2025-05-21 13:08:56.262230,0 days 00:01:28.543519,64,0.017162411582639144,33,COMPLETE
5,11374.7802734375,2025-05-21 13:08:56.262230,2025-05-21 13:09:59.043326,0 days 00:01:02.781096,128,0.004841092096289113,36,COMPLETE
6,12443.0068359375,2025-05-21 13:09:59.043326,2025-05-21 13:10:42.809325,0 days 00:00:43.765999,128,0.0021646699788279915,17,COMPLETE
7,11234.91015625,2025-05-21 13:10:42.809325,2025-05-21 13:11:16.226268,0 days 00:00:33.416943,256,0.011367918880343978,17,COMPLETE
8,11373.837890625,2025-05-21 13:11:16.226268,2025-05-21 13:11:45.824711,0 days 00:00:29.598443,256,0.01542696075274399,14,COMPLETE
9,11417.4287109375,2025-05-21 13:11:45.824711,2025-05-21 13:12:37.611740,0 days 00:00:51.787029,128,0.0075260290478442625,24,COMPLETE
