number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_units,params_learning_rate,state
0,13248.8505859375,2025-05-21 17:00:26.914980,2025-05-21 17:00:34.081749,0 days 00:00:07.166769,256,160,0.0012308461389018528,COMPLETE
1,11494.810546875,2025-05-21 17:00:34.081749,2025-05-21 17:00:57.428128,0 days 00:00:23.346379,64,256,0.003617204899867278,COMPLETE
2,11256.47265625,2025-05-21 17:00:57.429338,2025-05-21 17:01:31.116904,0 days 00:00:33.687566,32,128,0.004692778000327852,COMPLETE
3,11626.2412109375,2025-05-21 17:01:31.116904,2025-05-21 17:01:50.967171,0 days 00:00:19.850267,64,192,0.004312161317068442,COMPLETE
4,11244.5,2025-05-21 17:01:50.967171,2025-05-21 17:02:20.892439,0 days 00:00:29.925268,32,64,0.005654631277672665,COMPLETE
5,14832.1982421875,2025-05-21 17:02:20.892439,2025-05-21 17:02:31.717194,0 days 00:00:10.824755,128,192,0.0015753611233190249,COMPLETE
6,11557.5390625,2025-05-21 17:02:31.717194,2025-05-21 17:03:04.873148,0 days 00:00:33.155954,32,96,0.003350594093152642,COMPLETE
7,11422.46484375,2025-05-21 17:03:04.873148,2025-05-21 17:03:40.543710,0 days 00:00:35.670562,32,32,0.016577044696019155,COMPLETE
8,14239.068359375,2025-05-21 17:03:40.543710,2025-05-21 17:03:47.021347,0 days 00:00:06.477637,256,96,0.010102813367618578,COMPLETE
9,12707.0615234375,2025-05-21 17:03:47.021347,2025-05-21 17:04:06.106646,0 days 00:00:19.085299,32,160,0.08350292378515939,COMPLETE
