Model,RMSE,MAE,R²,Time
LSTM_Top5,90.94138998473875,70.15003838389005,0.5478124323875753,145.55
MLP_Top5,93.75943652297514,72.4875918840281,0.5193539037915718,46.03
CNN-1D_Top5,94.71155819071973,74.05067670355245,0.5095424714497061,48.98
Catboost_Top5,95.01889152618527,73.65988129295121,0.5063542964823426,10.99
Light GBM_Top5,95.14147593024684,73.88165586611171,0.5050797646990034,1.05
XGBoost_Top5,95.1850813568205,73.65469427073715,0.5046259951239611,0.96
Extra Trees_Top5,95.47671930306856,74.68617530596646,0.5015857880615262,8.96
Random Forest_Top5,95.97959326503293,74.22687239616474,0.4963216862370451,12.81
KNN Regressor_Top5,96.25555036266368,74.2101100918614,0.49342120675812473,3.02
GRU_Top5,99.0671186023845,79.16703695423239,0.46339525926449676,187.79
Linear Regression_Top5,119.90339361578553,99.16664246326825,0.21393512183316954,0.12
Support Vector Regression_Top5,119.91788591188235,93.41099389705488,0.2137450926259814,1970.26
Transformer_Top5,129.68459043134186,100.77732138421811,0.08045668467822298,209.2
